train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.47,0.45,0.93,0.61,0.48,1.3456695255111246,45.752763867378235,0.45,0.34,0.17,0.22,0.43,0.7531973838806152,3.765986919403076,1713221307,,False,1,948f41b7,2024-04-16_00-48-27,18.069702625274658,18.069702625274658,36760,AT-MB-PC-E13,127.0.0.1,18.069702625274658,1,64,3,0.5,1e-05
0.48,0.46,0.93,0.61,0.51,1.3376179162193746,45.47900915145874,0.46,0.45,0.53,0.48,0.45,0.7881389737129212,3.9406948685646057,1713221330,,False,2,948f41b7,2024-04-16_00-48-50,22.56784677505493,40.63754940032959,36760,AT-MB-PC-E13,127.0.0.1,40.63754940032959,2,64,3,0.5,1e-05
0.48,0.46,0.92,0.61,0.52,1.239756645525203,42.1517259478569,0.5,0.49,0.71,0.58,0.48,0.8253902912139892,4.126951456069946,1713221352,,False,3,948f41b7,2024-04-16_00-49-12,22.052083015441895,62.689632415771484,36760,AT-MB-PC-E13,127.0.0.1,62.689632415771484,3,64,3,0.5,1e-05
0.48,0.46,0.87,0.6,0.51,1.151312381029129,39.14462095499039,0.5,0.48,0.58,0.53,0.47,0.8258125066757203,4.129062533378601,1713221374,,False,4,948f41b7,2024-04-16_00-49-34,22.463173151016235,85.15280556678772,36760,AT-MB-PC-E13,127.0.0.1,85.15280556678772,4,64,3,0.5,1e-05
0.49,0.46,0.82,0.59,0.53,1.0227483949240517,34.773445427417755,0.5,0.48,0.53,0.5,0.47,0.8090458512306213,4.045229256153107,1713221396,,False,5,948f41b7,2024-04-16_00-49-56,22.180246353149414,107.33305191993713,36760,AT-MB-PC-E13,127.0.0.1,107.33305191993713,5,64,3,0.5,1e-05
0.49,0.46,0.75,0.57,0.54,0.9142275435083053,31.08373647928238,0.46,0.42,0.31,0.35,0.45,0.8157919645309448,4.078959822654724,1713221419,,False,6,948f41b7,2024-04-16_00-50-19,22.345395803451538,129.67844772338867,36760,AT-MB-PC-E13,127.0.0.1,129.67844772338867,6,64,3,0.5,1e-05
0.53,0.48,0.74,0.58,0.56,0.8093897779198254,27.519252449274063,0.47,0.4,0.24,0.3,0.45,0.8117791056632996,4.058895528316498,1713221440,,False,7,948f41b7,2024-04-16_00-50-40,21.636620044708252,151.31506776809692,36760,AT-MB-PC-E13,127.0.0.1,151.31506776809692,7,64,3,0.5,1e-05
0.54,0.49,0.68,0.57,0.58,0.7693839616635266,26.159054696559906,0.51,0.46,0.15,0.23,0.48,0.8022347331047058,4.011173665523529,1713221462,,False,8,948f41b7,2024-04-16_00-51-02,21.917181730270386,173.2322494983673,36760,AT-MB-PC-E13,127.0.0.1,173.2322494983673,8,64,3,0.5,1e-05
0.56,0.51,0.66,0.57,0.59,0.7329685460118687,24.920930564403534,0.51,0.44,0.1,0.16,0.48,0.7885928153991699,3.9429640769958496,1713221484,,False,9,948f41b7,2024-04-16_00-51-24,22.192950010299683,195.425199508667,36760,AT-MB-PC-E13,127.0.0.1,195.425199508667,9,64,3,0.5,1e-05
0.57,0.51,0.64,0.57,0.61,0.7087633504587061,24.09795391559601,0.52,0.47,0.11,0.18,0.5,0.7965009927749633,3.982504963874817,1713221506,,False,10,948f41b7,2024-04-16_00-51-46,21.999799489974976,217.42499899864197,36760,AT-MB-PC-E13,127.0.0.1,217.42499899864197,10,64,3,0.5,1e-05
0.58,0.52,0.61,0.56,0.62,0.6973327678792617,23.709314107894897,0.52,0.5,0.1,0.16,0.49,0.798629629611969,3.993148148059845,1713221529,,False,11,948f41b7,2024-04-16_00-52-09,22.2928307056427,239.71782970428467,36760,AT-MB-PC-E13,127.0.0.1,239.71782970428467,11,64,3,0.5,1e-05
0.58,0.52,0.59,0.56,0.64,0.6739079391255098,22.912869930267334,0.52,0.5,0.08,0.14,0.49,0.7957125663757324,3.978562831878662,1713221551,,False,12,948f41b7,2024-04-16_00-52-31,21.849812746047974,261.56764245033264,36760,AT-MB-PC-E13,127.0.0.1,261.56764245033264,12,64,3,0.5,1e-05
